Filter: 25 Hz low pass,,,,,
beat#,Time,ECG catheter,Pressure,Temperature,Total Volume
0,0.444,42.89,20.72,44.09,238.5
0,0.448,11.09,22.66,44.08,237.07
0,0.452,-11.79,25.24,44.07,235.48
0,0.456,-23.82,28.41,44.05,233.93
0,0.46,-26.41,32.06,44.03,232.57
0,0.464,-23.12,36.06,44.01,231.49
0,0.468,-17.96,40.27,43.99,230.65
0,0.472,-13.99,44.57,43.97,229.94
0,0.476,-12.54,48.87,43.96,229.19
0,0.48,-13.35,53.08,43.94,228.23
0,0.484,-15.25,57.14,43.93,226.92
0,0.488,-16.97,60.99,43.92,225.24
0,0.492,-17.71,64.56,43.91,223.2
0,0.496,-17.33,67.79,43.89,220.9
0,0.5,-16.2,70.62,43.88,218.48
0,0.504,-14.82,73,43.87,216.07
0,0.508,-13.61,74.93,43.86,213.77
0,0.512,-12.72,76.4,43.84,211.66
0,0.516,-12.11,77.46,43.83,209.76
0,0.52,-11.63,78.16,43.82,208.06
0,0.524,-11.2,78.58,43.81,206.5
0,0.528,-10.76,78.8,43.81,205
0,0.532,-10.32,78.91,43.81,203.47
0,0.536,-9.92,78.97,43.81,201.86
0,0.54,-9.55,79.04,43.82,200.13
0,0.544,-9.22,79.16,43.82,198.28
0,0.548,-8.9,79.35,43.82,196.36
0,0.552,-8.6,79.61,43.82,194.42
0,0.556,-8.29,79.9,43.81,192.49
0,0.56,-8,80.19,43.81,190.62
0,0.564,-7.73,80.47,43.8,188.79
0,0.568,-7.49,80.7,43.79,186.96
0,0.572,-7.28,80.88,43.79,185.09
0,0.576,-7.1,81,43.78,183.13
0,0.58,-6.95,81.08,43.78,181.07
0,0.584,-6.81,81.15,43.78,178.91
0,0.588,-6.7,81.21,43.77,176.69
0,0.592,-6.59,81.3,43.77,174.47
0,0.596,-6.49,81.41,43.77,172.33
0,0.6,-6.41,81.55,43.77,170.3
0,0.604,-6.33,81.72,43.76,168.42
0,0.608,-6.27,81.91,43.76,166.65
0,0.612,-6.22,82.12,43.76,164.96
0,0.616,-6.18,82.33,43.76,163.27
0,0.62,-6.15,82.56,43.76,161.54
0,0.624,-6.12,82.78,43.76,159.72
0,0.628,-6.09,83.02,43.76,157.83
0,0.632,-6.05,83.26,43.76,155.88
0,0.636,-6.02,83.51,43.75,153.94
0,0.64,-5.98,83.76,43.75,152.04
0,0.644,-5.94,84.03,43.74,150.2
0,0.648,-5.91,84.3,43.74,148.41
0,0.652,-5.89,84.57,43.74,146.65
0,0.656,-5.9,84.86,43.74,144.88
0,0.66,-5.94,85.16,43.74,143.08
0,0.664,-6.03,85.47,43.74,141.26
0,0.668,-6.18,85.79,43.74,139.42
0,0.672,-6.4,86.11,43.74,137.6
0,0.676,-6.69,86.44,43.74,135.84
0,0.68,-7.04,86.74,43.73,134.14
0,0.684,-7.43,87.01,43.73,132.5
0,0.688,-7.86,87.22,43.73,130.91
0,0.692,-8.36,87.38,43.73,129.33
0,0.696,-9,87.46,43.72,127.72
0,0.7,-9.88,87.46,43.72,126.09
0,0.704,-11.13,87.4,43.72,124.43
0,0.708,-12.85,87.27,43.72,122.76
0,0.712,-15.03,87.1,43.72,121.12
0,0.716,-17.53,86.88,43.72,119.52
0,0.72,-20.04,86.63,43.72,117.98
0,0.724,-22.12,86.35,43.72,116.48
0,0.728,-23.3,86.05,43.72,114.98
0,0.732,-23.19,85.71,43.72,113.45
0,0.736,-21.57,85.34,43.72,111.9
0,0.74,-18.5,84.95,43.72,110.36
0,0.744,-14.29,84.52,43.72,108.91
0,0.748,-9.42,84.05,43.71,107.67
0,0.752,-4.49,83.53,43.71,106.68
0,0.756,0,82.9,43.72,105.92
0,0.76,3.67,82.07,43.72,105.28
0,0.764,6.38,80.93,43.72,104.57
0,0.768,8.19,79.3,43.72,103.61
0,0.772,9.26,77.02,43.73,102.38
0,0.776,9.85,73.95,43.74,101.04
0,0.78,10.17,70.04,43.75,99.95
0,0.784,10.36,65.32,43.77,99.6
0,0.788,10.51,59.96,43.78,100.43
0,0.792,10.62,54.22,43.8,102.64
0,0.796,10.68,48.42,43.81,106.08
0,0.8,10.66,42.87,43.81,110.24
0,0.804,10.57,37.8,43.82,114.4
0,0.808,10.41,33.33,43.82,117.84
0,0.812,10.24,29.47,43.83,120.07
0,0.816,10.07,26.15,43.84,120.98
0,0.82,9.92,23.25,43.85,120.8
0,0.824,9.8,20.65,43.87,120.05
0,0.828,9.71,18.28,43.88,119.27
0,0.832,9.63,16.11,43.9,118.88
0,0.836,9.56,14.13,43.91,119.06
0,0.84,9.46,12.39,43.91,119.77
0,0.844,9.34,10.9,43.92,120.81
0,0.848,9.16,9.66,43.92,122.01
0,0.852,8.93,8.66,43.93,123.26
0,0.856,8.6,7.87,43.93,124.6
0,0.86,8.17,7.26,43.94,126.19
0,0.864,7.64,6.8,43.94,128.19
0,0.868,7.03,6.48,43.95,130.72
0,0.872,6.4,6.26,43.95,133.82
0,0.876,5.79,6.14,43.95,137.44
0,0.88,5.25,6.1,43.96,141.45
0,0.884,4.8,6.12,43.96,145.72
0,0.888,4.42,6.18,43.96,150.15
0,0.892,4.09,6.28,43.96,154.64
0,0.896,3.77,6.41,43.95,159.13
0,0.9,3.48,6.56,43.95,163.57
0,0.904,3.28,6.71,43.95,167.86
0,0.908,3.25,6.86,43.94,171.92
0,0.912,3.52,6.99,43.94,175.67
0,0.916,4.19,7.08,43.93,179.02
0,0.92,5.27,7.14,43.92,181.95
0,0.924,6.7,7.18,43.92,184.48
0,0.928,8.33,7.22,43.91,186.68
0,0.932,9.94,7.29,43.91,188.65
0,0.936,11.35,7.42,43.9,190.48
0,0.94,12.41,7.63,43.9,192.25
0,0.944,13.06,7.92,43.89,194.01
0,0.948,13.35,8.27,43.89,195.76
0,0.952,13.36,8.66,43.88,197.46
0,0.956,13.22,9.05,43.87,199.07
0,0.96,13,9.4,43.87,200.57
0,0.964,12.77,9.69,43.86,201.96
0,0.968,12.51,9.92,43.86,203.24
0,0.972,12.21,10.09,43.86,204.44
0,0.976,11.85,10.22,43.86,205.58
0,0.98,11.43,10.33,43.86,206.67
0,0.984,10.98,10.44,43.86,207.69
0,0.988,10.54,10.53,43.85,208.62
0,0.992,10.19,10.62,43.84,209.44
0,0.996,9.96,10.69,43.83,210.13
0,1,9.87,10.74,43.83,210.69
0,1.004,9.89,10.78,43.82,211.16
0,1.008,9.94,10.83,43.82,211.56
0,1.012,9.9,10.9,43.82,211.92
0,1.016,9.67,10.99,43.82,212.23
0,1.02,9.15,11.1,43.82,212.49
0,1.024,8.34,11.23,43.82,212.68
0,1.028,7.28,11.36,43.82,212.79
0,1.032,6.13,11.49,43.82,212.82
0,1.036,5.06,11.6,43.81,212.81
0,1.04,4.25,11.71,43.81,212.8
0,1.044,3.83,11.81,43.81,212.83
0,1.048,3.83,11.92,43.8,212.9
0,1.052,4.17,12.03,43.8,213.01
0,1.056,4.74,12.15,43.8,213.14
0,1.06,5.4,12.27,43.8,213.26
0,1.064,6.05,12.39,43.8,213.37
0,1.068,6.57,12.52,43.8,213.51
0,1.072,6.83,12.67,43.8,213.75
0,1.076,6.65,12.84,43.8,214.19
0,1.08,5.95,13.04,43.8,214.91
0,1.084,4.86,13.27,43.8,215.94
0,1.088,3.76,13.51,43.8,217.27
0,1.092,3.28,13.76,43.8,218.82
0,1.096,3.99,14.01,43.79,220.49
0,1.1,6.05,14.25,43.79,222.18
0,1.104,8.85,14.48,43.78,223.81
0,1.108,11.07,14.72,43.77,225.35
0,1.112,11.06,14.98,43.77,226.8
0,1.116,7.75,15.31,43.76,228.19
0,1.12,1.53,15.69,43.76,229.55
0,1.124,-5.27,16.15,43.75,230.91
0,1.128,-8.74,16.65,43.75,232.25
0,1.132,-4.55,17.16,43.75,233.58
0,1.136,10.21,17.63,43.75,234.89
0,1.14,35.47,18,43.74,236.18
0,1.144,67.47,18.24,43.74,237.45
0,1.148,99.39,18.34,43.74,238.66
0,1.152,123.32,18.36,43.73,239.75
1,1.156,132.77,18.39,43.73,240.59
1,1.16,124.89,18.57,43.72,241.01
1,1.164,101.43,19.06,43.71,240.88
1,1.168,68.13,20.01,43.71,240.11
1,1.172,32.71,21.51,43.7,238.73
1,1.176,2.42,23.64,43.69,236.89
1,1.18,-18.1,26.37,43.67,234.84
1,1.184,-27.75,29.64,43.66,232.82
1,1.188,-28.6,33.35,43.64,231.06
1,1.192,-24.48,37.37,43.63,229.67
1,1.196,-19.3,41.59,43.61,228.62
1,1.2,-15.74,45.88,43.6,227.8
1,1.204,-14.77,50.15,43.58,227.03
1,1.208,-15.84,54.32,43.57,226.13
1,1.212,-17.7,58.31,43.55,224.99
1,1.216,-19.15,62.07,43.54,223.57
1,1.22,-19.56,65.51,43.53,221.88
1,1.224,-18.93,68.59,43.53,220
1,1.228,-17.69,71.27,43.52,218
1,1.232,-16.36,73.51,43.51,215.98
1,1.236,-15.28,75.32,43.5,213.97
1,1.24,-14.56,76.71,43.5,212.02
1,1.244,-14.12,77.7,43.49,210.13
1,1.248,-13.8,78.37,43.48,208.29
1,1.252,-13.49,78.76,43.47,206.51
1,1.256,-13.15,78.97,43.47,204.75
1,1.26,-12.77,79.05,43.47,203.03
1,1.264,-12.38,79.09,43.47,201.35
1,1.268,-11.99,79.15,43.47,199.73
1,1.272,-11.6,79.26,43.47,198.17
1,1.276,-11.22,79.43,43.46,196.66
1,1.28,-10.86,79.67,43.46,195.16
1,1.284,-10.51,79.95,43.46,193.61
1,1.288,-10.18,80.25,43.46,191.93
1,1.292,-9.87,80.51,43.45,190.06
1,1.296,-9.59,80.74,43.45,187.98
1,1.3,-9.33,80.92,43.45,185.74
1,1.304,-9.08,81.04,43.45,183.41
1,1.308,-8.85,81.13,43.45,181.1
1,1.312,-8.64,81.21,43.45,178.89
1,1.316,-8.44,81.28,43.45,176.83
1,1.32,-8.25,81.37,43.45,174.91
1,1.324,-8.08,81.48,43.45,173.09
1,1.328,-7.93,81.61,43.44,171.29
1,1.332,-7.78,81.76,43.44,169.45
1,1.336,-7.63,81.93,43.44,167.54
1,1.34,-7.49,82.12,43.43,165.55
1,1.344,-7.35,82.33,43.42,163.51
1,1.348,-7.21,82.56,43.42,161.46
1,1.352,-7.07,82.81,43.42,159.42
1,1.356,-6.93,83.08,43.42,157.42
1,1.36,-6.8,83.36,43.42,155.47
1,1.364,-6.66,83.64,43.42,153.56
1,1.368,-6.54,83.93,43.43,151.67
1,1.372,-6.42,84.22,43.43,149.78
1,1.376,-6.31,84.5,43.43,147.88
1,1.38,-6.21,84.79,43.43,145.97
1,1.384,-6.13,85.09,43.43,144.04
1,1.388,-6.08,85.39,43.42,142.11
1,1.392,-6.07,85.71,43.42,140.2
1,1.396,-6.14,86.03,43.41,138.32
1,1.4,-6.29,86.36,43.41,136.5
1,1.404,-6.55,86.68,43.41,134.72
1,1.408,-6.89,86.98,43.4,132.97
1,1.412,-7.29,87.24,43.4,131.26
1,1.416,-7.74,87.45,43.4,129.57
1,1.42,-8.23,87.61,43.4,127.9
1,1.424,-8.84,87.71,43.4,126.27
1,1.428,-9.67,87.74,43.4,124.7
1,1.432,-10.85,87.71,43.4,123.19
1,1.436,-12.49,87.62,43.4,121.76
1,1.44,-14.59,87.48,43.4,120.38
1,1.444,-16.97,87.28,43.39,119.04
1,1.448,-19.33,87.03,43.39,117.72
1,1.452,-21.22,86.73,43.38,116.37
1,1.456,-22.14,86.39,43.37,114.97
1,1.46,-21.74,86.01,43.37,113.51
1,1.464,-19.83,85.61,43.37,112
1,1.468,-16.51,85.18,43.36,110.51
1,1.472,-12.13,84.72,43.36,109.12
1,1.476,-7.23,84.23,43.36,107.92
1,1.48,-2.37,83.68,43.37,106.94
1,1.484,1.95,83.01,43.37,106.16
1,1.488,5.4,82.14,43.37,105.45
1,1.492,7.89,80.94,43.37,104.66
1,1.496,9.49,79.24,43.38,103.63
1,1.5,10.43,76.88,43.39,102.35
1,1.504,10.92,73.74,43.4,101
1,1.508,11.19,69.76,43.41,99.95
1,1.512,11.36,64.99,43.43,99.67
1,1.516,11.48,59.62,43.44,100.56
1,1.52,11.54,53.9,43.45,102.81
1,1.524,11.52,48.14,43.46,106.22
1,1.528,11.38,42.64,43.46,110.3
1,1.532,11.13,37.61,43.47,114.33
1,1.536,10.78,33.18,43.48,117.62
1,1.54,10.39,29.35,43.49,119.72
1,1.544,10,26.06,43.5,120.5
1,1.548,9.65,23.17,43.51,120.25
1,1.552,9.35,20.59,43.52,119.46
1,1.556,9.12,18.24,43.54,118.67
1,1.56,8.95,16.09,43.55,118.29
1,1.564,8.83,14.15,43.56,118.5
1,1.568,8.72,12.44,43.56,119.27
1,1.572,8.6,10.98,43.57,120.43
1,1.576,8.44,9.77,43.58,121.81
1,1.58,8.21,8.8,43.58,123.32
1,1.584,7.88,8.02,43.59,124.98
1,1.588,7.46,7.42,43.6,126.9
1,1.592,6.97,6.97,43.61,129.22
1,1.596,6.42,6.64,43.61,132.02
1,1.6,5.87,6.44,43.61,135.35
1,1.604,5.32,6.33,43.61,139.17
1,1.608,4.78,6.31,43.61,143.39
1,1.612,4.24,6.35,43.61,147.9
1,1.616,3.71,6.42,43.6,152.58
1,1.62,3.2,6.52,43.6,157.32
1,1.624,2.79,6.62,43.6,161.98
1,1.628,2.56,6.72,43.6,166.45
1,1.632,2.63,6.8,43.6,170.61
1,1.636,3.08,6.85,43.6,174.36
1,1.64,3.94,6.86,43.6,177.68
1,1.644,5.18,6.84,43.6,180.57
1,1.648,6.69,6.8,43.59,183.07
1,1.652,8.32,6.76,43.59,185.28
1,1.656,9.95,6.78,43.58,187.27
1,1.66,11.47,6.88,43.57,189.1
1,1.664,12.81,7.09,43.56,190.83
1,1.668,13.96,7.4,43.55,192.49
1,1.672,14.9,7.79,43.54,194.09
1,1.676,15.61,8.21,43.54,195.65
1,1.68,16.06,8.62,43.53,197.18
1,1.684,16.23,8.98,43.53,198.72
1,1.688,16.08,9.26,43.52,200.27
1,1.692,15.63,9.47,43.52,201.81
1,1.696,14.95,9.63,43.51,203.32
1,1.7,14.11,9.77,43.5,204.76
1,1.704,13.19,9.92,43.5,206.09
1,1.708,12.26,10.09,43.49,207.25
1,1.712,11.35,10.27,43.48,208.25
1,1.716,10.48,10.46,43.48,209.09
1,1.72,9.66,10.63,43.47,209.79
1,1.724,8.89,10.77,43.47,210.39
1,1.728,8.21,10.87,43.47,210.9
1,1.732,7.67,10.95,43.47,211.34
1,1.736,7.28,11.02,43.47,211.71
1,1.74,7.04,11.1,43.46,212.01
1,1.744,6.88,11.19,43.46,212.22
1,1.748,6.71,11.3,43.46,212.34
1,1.752,6.45,11.4,43.46,212.39
1,1.756,6.05,11.48,43.46,212.37
1,1.76,5.54,11.53,43.46,212.31
1,1.764,4.98,11.54,43.46,212.23
1,1.768,4.49,11.53,43.45,212.16
1,1.772,4.16,11.52,43.45,212.1
1,1.776,4.03,11.54,43.44,212.09
1,1.78,4.09,11.6,43.44,212.12
1,1.784,4.28,11.71,43.44,212.19
1,1.788,4.55,11.88,43.43,212.31
1,1.792,4.81,12.08,43.43,212.47
1,1.796,4.97,12.31,43.43,212.69
1,1.8,4.87,12.55,43.43,213.02
1,1.804,4.32,12.81,43.43,213.52
1,1.808,3.24,13.07,43.44,214.23
1,1.812,1.8,13.34,43.44,215.22
1,1.816,0.45,13.61,43.44,216.51
1,1.82,-0.18,13.87,43.44,218.07
1,1.824,0.45,14.11,43.44,219.84
1,1.828,2.36,14.34,43.44,221.72
1,1.832,4.8,14.56,43.43,223.6
1,1.836,6.33,14.79,43.43,225.38
1,1.84,5.38,15.07,43.42,227.01
1,1.844,1.14,15.42,43.41,228.48
1,1.848,-5.59,15.85,43.4,229.81
1,1.852,-12.09,16.35,43.39,231.04
1,1.856,-14.21,16.9,43.39,232.24
1,1.86,-7.8,17.44,43.39,233.44
1,1.864,9.54,17.9,43.38,234.67
1,1.868,36.95,18.23,43.38,235.92
1,1.872,69.88,18.4,43.38,237.13
1,1.876,101.08,18.42,43.38,238.22
1,1.88,122.69,18.38,43.38,239.04
2,1.884,128.86,18.38,43.37,239.46
2,1.888,117.67,18.59,43.36,239.34
2,1.892,91.85,19.15,43.36,238.6
2,1.896,57.75,20.21,43.35,237.27
2,1.9,23.25,21.87,43.34,235.49
2,1.904,-4.84,24.15,43.33,233.51
2,1.908,-22.6,27.04,43.31,231.61
2,1.912,-29.7,30.46,43.3,230.05
2,1.916,-28.73,34.28,43.28,228.97
2,1.92,-23.71,38.39,43.26,228.36
2,1.924,-18.39,42.67,43.25,228.06
2,1.928,-15.12,47,43.23,227.81
2,1.932,-14.46,51.28,43.21,227.33
2,1.936,-15.64,55.43,43.19,226.41
2,1.94,-17.35,59.38,43.17,224.94
2,1.944,-18.45,63.06,43.15,222.98
2,1.948,-18.44,66.41,43.14,220.65
2,1.952,-17.44,69.38,43.13,218.13
2,1.956,-15.91,71.94,43.13,215.61
2,1.96,-14.37,74.07,43.13,213.22
2,1.964,-13.1,75.76,43.12,211.03
2,1.968,-12.18,77.03,43.12,209.06
2,1.972,-11.5,77.93,43.11,207.25
2,1.976,-10.91,78.5,43.1,205.57
2,1.98,-10.34,78.83,43.09,203.94
2,1.984,-9.77,78.98,43.08,202.32
2,1.988,-9.21,79.04,43.07,200.64
2,1.992,-8.68,79.08,43.06,198.92
2,1.996,-8.18,79.15,43.06,197.13
2,2,-7.69,79.3,43.05,195.32
2,2.004,-7.22,79.51,43.05,193.5
2,2.008,-6.75,79.79,43.05,191.69
2,2.012,-6.3,80.09,43.05,189.91
2,2.016,-5.88,80.38,43.05,188.14
2,2.02,-5.49,80.63,43.05,186.39
2,2.024,-5.17,80.82,43.05,184.64
2,2.028,-4.9,80.96,43.05,182.89
2,2.032,-4.7,81.05,43.05,181.13
2,2.036,-4.54,81.11,43.05,179.35
2,2.04,-4.41,81.18,43.04,177.53
2,2.044,-4.31,81.25,43.04,175.63
2,2.048,-4.22,81.35,43.04,173.64
2,2.052,-4.13,81.48,43.03,171.54
2,2.056,-4.06,81.63,43.03,169.35
2,2.06,-3.99,81.8,43.03,167.13
2,2.064,-3.94,81.98,43.03,164.93
2,2.068,-3.9,82.17,43.02,162.81
2,2.072,-3.86,82.38,43.02,160.81
2,2.076,-3.82,82.6,43.01,158.93
2,2.08,-3.77,82.83,43.01,157.14
2,2.084,-3.7,83.09,43.01,155.39
2,2.088,-3.62,83.35,43.01,153.63
2,2.092,-3.54,83.62,43.01,151.82
2,2.096,-3.47,83.9,43.02,149.96
2,2.1,-3.41,84.18,43.02,148.06
2,2.104,-3.38,84.47,43.01,146.16
2,2.108,-3.39,84.78,43.01,144.3
2,2.112,-3.44,85.09,43,142.51
2,2.116,-3.55,85.41,42.99,140.82
2,2.12,-3.73,85.75,42.99,139.19
2,2.124,-4.01,86.09,42.98,137.6
2,2.128,-4.37,86.42,42.98,136.01
2,2.132,-4.8,86.73,42.98,134.37
2,2.136,-5.26,87.01,42.99,132.69
2,2.14,-5.75,87.24,42.99,130.96
2,2.144,-6.3,87.43,42.99,129.22
2,2.148,-6.99,87.56,42.98,127.5
2,2.152,-7.93,87.62,42.97,125.83
2,2.156,-9.28,87.62,42.97,124.22
2,2.16,-11.11,87.55,42.96,122.67
2,2.164,-13.37,87.43,42.96,121.16
2,2.168,-15.88,87.25,42.95,119.67
2,2.172,-18.26,87.02,42.95,118.17
2,2.176,-20.04,86.75,42.96,116.65
2,2.18,-20.75,86.44,42.96,115.09
2,2.184,-20.05,86.1,42.96,113.49
2,2.188,-17.84,85.73,42.96,111.89
2,2.192,-14.28,85.33,42.96,110.34
2,2.196,-9.76,84.91,42.96,108.93
2,2.2,-4.85,84.45,42.96,107.73
2,2.204,-0.12,83.96,42.96,106.78
2,2.208,3.97,83.41,42.96,106.03
2,2.212,7.15,82.74,42.96,105.35
2,2.216,9.37,81.84,42.96,104.55
2,2.22,10.75,80.59,42.97,103.49
2,2.224,11.52,78.82,42.97,102.18
2,2.228,11.91,76.36,42.99,100.83
2,2.232,12.12,73.08,43,99.85
2,2.236,12.25,68.97,43.01,99.74
2,2.24,12.34,64.08,43.03,100.92
2,2.244,12.36,58.62,43.04,103.5
2,2.248,12.25,52.87,43.05,107.26
2,2.252,11.99,47.15,43.06,111.58
2,2.256,11.57,41.73,43.06,115.7
2,2.26,11.03,36.84,43.06,118.9
2,2.264,10.42,32.54,43.06,120.75
2,2.268,9.83,28.84,43.07,121.23
2,2.272,9.29,25.64,43.08,120.67
2,2.276,8.86,22.81,43.09,119.66
2,2.28,8.56,20.26,43.1,118.77
2,2.284,8.36,17.93,43.11,118.4
2,2.288,8.25,15.8,43.12,118.7
2,2.292,8.19,13.88,43.13,119.57
2,2.296,8.11,12.22,43.13,120.79
2,2.3,7.98,10.81,43.14,122.15
2,2.304,7.76,9.65,43.14,123.57
2,2.308,7.41,8.71,43.14,125.09
2,2.312,6.96,7.97,43.14,126.87
2,2.316,6.42,7.39,43.15,129.07
2,2.32,5.84,6.94,43.15,131.83
2,2.324,5.29,6.63,43.16,135.2
2,2.328,4.8,6.43,43.17,139.14
2,2.332,4.37,6.35,43.18,143.53
2,2.336,3.98,6.36,43.18,148.24
2,2.34,3.61,6.44,43.18,153.1
2,2.344,3.24,6.56,43.18,157.99
2,2.348,2.88,6.69,43.17,162.76
2,2.352,2.63,6.78,43.17,167.31
2,2.356,2.61,6.84,43.16,171.57
2,2.36,2.97,6.87,43.16,175.46
2,2.364,3.85,6.89,43.15,178.96
2,2.368,5.31,6.92,43.14,182.06
2,2.372,7.33,7,43.13,184.74
2,2.376,9.8,7.13,43.13,187.02
2,2.38,12.52,7.32,43.12,188.93
2,2.384,15.28,7.54,43.11,190.52
2,2.388,17.83,7.77,43.11,191.86
2,2.392,19.98,7.99,43.11,193.08
2,2.396,21.57,8.2,43.11,194.3
2,2.4,22.48,8.4,43.1,195.6
2,2.404,22.69,8.61,43.1,197.07
2,2.408,22.21,8.85,43.09,198.7
2,2.412,21.13,9.11,43.08,200.42
2,2.416,19.59,9.4,43.07,202.13
2,2.42,17.78,9.68,43.06,203.73
2,2.424,15.88,9.93,43.05,205.11
2,2.428,14.07,10.13,43.05,206.25
2,2.432,12.44,10.28,43.04,207.15
2,2.436,11.09,10.38,43.04,207.86
2,2.44,10.01,10.46,43.04,208.47
2,2.444,9.21,10.55,43.03,209.04
2,2.448,8.65,10.67,43.03,209.63
2,2.452,8.32,10.81,43.02,210.23
2,2.456,8.17,10.97,43.01,210.82
2,2.46,8.13,11.15,43.01,211.37
2,2.464,8.12,11.3,43.01,211.84
2,2.468,8.01,11.43,43.01,212.21
2,2.472,7.73,11.52,43.01,212.48
2,2.476,7.23,11.58,43.01,212.67
2,2.48,6.53,11.61,43.01,212.83
